product_id,country,event,price_amount,number_of_users
a_couple_foodies_subscription:a-couple-foodies-map-6months,Unknown,No Events,0.0,2
a_couple_foodies_subscription:a-couple-foodies-map-monthly,Unknown,No Events,0.0,1
acouplefoodies_map.F5b9ewuz2Cb.6m,US,No Events,0.0,7
acouplefoodies_map.F5b9ewuz2Cb.6m,Unknown,No Events,0.0,4
acouplefoodies_map.F5b9ewuz2Cb.m,US,No Events,0.0,3
acouplefoodies_map.F5b9ewuz2Cb.m,Unknown,No Events,0.0,1
atly.plus.m1,AE,No Events,0.0,1
atly.plus.m1,AR,No Events,0.0,1
atly.plus.m1,AU,No Events,0.0,4
atly.plus.m1,AU,RC Trial converted,8.164,1
atly.plus.m1,AU,Trial Only,8.164,3
atly.plus.m1,CA,RC Trial converted,6.963,2
atly.plus.m1,CH,RC Trial converted,10.669,1
atly.plus.m1,DE,No Events,0.0,2
atly.plus.m1,ES,RC Trial converted,7.99,1
atly.plus.m1,GB,No Events,0.0,2
atly.plus.m1,GB,RC Trial converted,10.291333333333332,3
atly.plus.m1,GB,Trial Only,10.291333333333332,4
atly.plus.m1,IE,No Events,0.0,1
atly.plus.m1,IT,No Events,0.0,1
atly.plus.m1,IT,RC Trial converted,10.084,1
atly.plus.m1,MX,No Events,0.0,1
atly.plus.m1,NL,No Events,0.0,2
atly.plus.m1,NZ,RC Trial converted,8.163,1
atly.plus.m1,OM,No Events,0.0,1
atly.plus.m1,PH,RC Trial converted,6.949,1
atly.plus.m1,PL,No Events,0.0,1
atly.plus.m1,PT,No Events,0.0,1
atly.plus.m1,RO,No Events,0.0,1
atly.plus.m1,RO,RC Trial converted,10.088,1
atly.plus.m1,TR,No Events,0.0,2
atly.plus.m1,US,No Events,0.0,9
atly.plus.m1,US,RC Trial converted,7.999722222222222,18
atly.plus.m1,US,Trial Only,7.999722222222222,34
atly.plus.m1,Unknown,No Events,0.0,1
atly.plus.y1,AE,RC Trial converted,54.449,1
atly.plus.y1,AE,Trial Only,54.449,4
atly.plus.y1,AR,No Events,0.0,2
atly.plus.y1,AR,RC Trial converted,9.99,1
atly.plus.y1,AT,No Events,0.0,5
atly.plus.y1,AT,RC Trial converted,11.282,1
atly.plus.y1,AU,No Events,0.0,21
atly.plus.y1,AU,RC Trial converted,9.549153846153846,26
atly.plus.y1,AU,RC Trial converted,50.7322,5
atly.plus.y1,AU,Trial Only,9.549153846153846,41
atly.plus.y1,AU,Trial Only,50.7322,13
atly.plus.y1,BB,RC Trial converted,11.99,1
atly.plus.y1,BE,RC Trial converted,11.218,1
atly.plus.y1,BG,No Events,0.0,1
atly.plus.y1,BR,No Events,0.0,4
atly.plus.y1,BY,No Events,0.0,1
atly.plus.y1,CA,No Events,0.0,16
atly.plus.y1,CA,RC Trial converted,9.4281,10
atly.plus.y1,CA,Trial Only,9.4281,15
atly.plus.y1,CH,No Events,0.0,7
atly.plus.y1,CH,RC Trial converted,12.111,1
